MAGNITUDE,DEPTH,REGION,DISTANCE,TSUNAMI
7.9,48,0,28.8586,1
7.9,49,0,12.243,1
7.9,5,1,-1.1533,1
7.9,33,0,90.9331,1
7.9,89,0,66.4149,1
7.9,10,0,155.092,1
7.9,33,0,83.246,1
7.9,24,0,11.7209,1
7.9,33,0,8.40637,1
7.9,10,0,188.444,1
7.9,24,0,65.2577,1
7.9,108,0,13.9757,1
7.9,103,0,40.2176,1
7.9,136,0,159.995,1
7.9,35,0,18.4863,1
7.9,35,0,17.7054,1
8,70,0,53.4261,1
8,30,0,4.87902,1
8,70,0,13.7423,1
8,33,0,92.3951,1
8,100,0,88.304,1
8,160,0,29.0649,1
8,60,0,86.6541,1
8,33,0,93.3547,1
8,33,0,2.60118,1
8,33,0,168.316,1
8,33,1,-1.59329,1
8,28,1,-15.9574,1
8,31,0,52.2344,1
8,46,1,-22.3568,1
8,33,1,-7.72175,1
8,33,0,16.95,1
8,55,0,40.6589,1
8,39,0,35.4407,1
8,150,0,41.6635,1
8.1,15,0,2.45743,1
8.1,25,0,152.146,1
8.1,33,1,-43.6883,1
8.1,30,0,33.9457,1
8.1,20,0,48.912,1
8.1,45,0,43.7118,1
8.1,38,0,75.7474,1
8.1,13,0,61.2111,1
8.1,33,0,8.24351,1
8.1,10,0,260.354,1
8.1,10,0,364.336,1
8.1,10,0,190.488,1
8.1,10,0,15.5756,1
8.1,18,0,164.942,1
8.1,33,0,49.3697,1
8.1,10,0,355.256,1
8.2,33,0,108.563,1
8.2,25,0,45.812,1
8.2,35,0,26.2618,1
8.2,60,0,64.7994,1
8.2,35,1,-23.6638,1
8.2,7,0,127.128,1
8.2,30,0,82.6587,1
8.2,33,0,43.9819,1
8.2,25,0,403.925,1
8.2,20,0,61.0578,1
8.2,25,0,23.1306,1
8.3,33,0,194.281,1
8.3,75,0,39.6237,1
8.3,33,0,19.7513,1
8.3,100,0,77.3811,1
8.3,30,0,44.3338,1
8.3,25,0,86.7778,1
8.3,33,0,133.46,1
8.3,19,0,53.5699,1
8.3,40,0,67.4496,1
8.3,14,0,34.46,1
8.3,27,0,55.1698,1
8.3,10,0,95.943,1
8.3,22,0,8.16159,1
8.3,33,1,-3.08092,1
