MAGNITUDE,DEPTH,REGION,DISTANCE,CLASS
6.4,22,0,0,1
6.9,17,0,0,1
7.9,89,0,0,1
7.8,24,0,0,1
5.9,26,0,0,1
6.9,10,0,0,1
7,2,0,0,1
7.7,10,0,0,1
7.2,44,0,0,1
5.5,41,0,0,1
7,46,0,0,1
6.9,48,0,0,1
6.8,33,0,0,1
6.4,13,0,0,1
6.2,99,0,0,1
8,31,0,0,1
6.4,15,0,0,1
7.8,29,0,0,1
6.7,48,0,0,1
7.4,55,0,0,1
6.7,54,0,0,1
5.1,23,0,0,1
6.3,75,0,0,1
6.7,48,0,0,1
7.3,16,0,0,1
7,25,0,0,1
7.4,48,0,0,1
7.2,10,0,0,1
6.6,33,0,0,1
7.9,10,0,0,1
7.8,15,0,0,1
6.8,53,0,0,1
7.6,36,0,0,1
8.1,10,0,0,1
7.1,11,0,0,1
6.5,10,0,0,1
7.4,29,0,0,1
6.6,26,0,0,1
6.4,14,0,0,1
7,22,0,0,1
7.5,11,0,0,1
6.5,10,0,0,1
5.3,11,0,0,1
6.3,10,0,0,1
6.9,10,0,0,1
5.7,39,0,0,1
6.7,20,0,0,1
7.2,23,0,0,1
7.6,24,0,0,1
7.3,33,0,0,1
7.1,19,0,0,1
7,29,0,0,1
6.3,16,0,0,1
7.7,40,0,0,1
7.8,28,0,0,1
6.3,11,0,0,1
6.4,10,0,0,1
7.5,71,0,0,1
6.6,20,0,0,1
7.7,17,0,0,1
6.3,13,0,0,1
7.8,59,0,0,1
7,34,0,0,1
7,20,0,0,1
6.4,13,0,0,1
6.5,16,0,0,1
7.8,18,0,0,1
6.6,26,0,0,1
6.5,11,0,0,1
6.1,17,0,0,1
7,10,0,0,1
8.3,14,0,0,1
6.8,17,0,0,1
7.3,33,0,0,1
7.1,32,0,0,1
7.8,27,0,0,1
7.4,21,0,0,1
7.2,21,0,0,1
6.8,23,0,0,1
7.7,20,0,0,1
7.7,30,0,0,1
7.1,28,0,0,1
7.2,10,0,0,1
7.9,33,0,0,1
7.9,24,0,0,1
8.2,33,0,0,1
7.5,10,0,0,1
7.1,21,0,0,1
7.9,33,0,0,1
7.3,24,0,0,1
5.7,33,0,0,1
6.9,10,0,0,1
6.8,20,0,0,1
6.6,10,0,0,1
6.7,22,0,0,1
7.7,33,0,0,1
7.7,33,0,0,1
6.2,10,0,0,1
7.7,167,0,0,1
8.1,10,0,0,1
7.5,33,0,0,1
7.7,33,0,0,1
7.5,33,0,0,1
5.5,38,0,0,1
7.6,26,0,0,1
7.9,10,0,0,1
6.1,10,0,0,1
6.5,10,0,0,1
8,33,0,0,1
7.7,60,0,0,1
8.4,33,0,0,1
6.1,20,0,0,1
6.8,14,0,0,1
7.2,21,0,0,1
7.5,31,0,0,1
6.4,33,0,0,1
7.1,33,0,0,1
7.6,13,0,0,1
6.5,21,0,0,1
7.6,10,0,0,1
7.3,33,0,0,1
7.5,24,0,0,1
6.8,12,0,0,1
5.7,8,0,0,1
8.3,27,0,0,1
7,10,0,0,1
7.8,33,0,0,1
6.1,10,0,0,1
6.7,17,0,0,1
5.3,27,0,0,1
7.2,14,0,0,1
7.4,10,0,0,1
6.6,10,0,0,1
7.5,10,0,0,1
6.3,14,0,0,1
7.1,10,0,0,1
7,39,0,0,1
8.1,10,0,0,1
9.1,30,0,0,1
6.6,28,0,0,1
5.8,12,0,0,1
6.7,19,0,0,1
7.2,10,0,0,1
7.2,36,0,0,1
7,11,0,0,1
8,55,0,0,1
7.7,34,0,0,1
6.9,28,0,0,1
6.7,39,0,0,1
8.3,10,0,0,1
7,10,0,0,1
8.1,10,0,0,1
7.1,34,0,0,1
6.7,8,0,0,1
8.1,10,0,0,1
6.6,10,0,0,1
6.2,5,0,0,1
6.7,21,0,0,1
8,39,0,0,1
7.2,35,0,0,1
8.4,34,0,0,1
7.4,10,0,0,1
7.4,156,0,0,1
7.8,153,0,0,1
6.5,25,0,0,1
7.3,35,0,0,1
6.4,32,0,0,1
6.9,22,0,0,1
5,10,0,0,1
6.8,25,0,0,1
7.3,30,0,0,1
7.6,17,0,0,1
7.4,36,0,0,1
7.2,22,0,0,1
7.6,34,0,0,1
7.3,10,0,0,1
7.5,5,0,0,1
6.4,40,0,0,1
6.7,20,0,0,1
8.1,18,0,0,1
7.5,81,0,0,1
7.6,45,0,0,1
7.1,25,0,0,1
6.8,15,0,0,1
7,25,0,0,1
8.8,23,0,0,1
7.8,31,0,0,1
7.5,35,0,0,1
7.2,25,0,0,1
6.9,10,0,0,1
7.8,20,0,0,1
7.4,14,0,0,1
7.3,16,0,0,1
6.5,24,0,0,1
6.8,28,0,0,1
7.5,32,0,0,1
9.1,30,0,0,1
7.3,52,0,0,1
7.6,17,0,0,1
7,23,0,0,1
7.1,32,0,0,1
7,28,0,0,1
6.8,32,0,0,1
7.4,33,0,0,1
7,23,0,0,1
6.9,12,0,0,1
8.6,20,0,0,1
8.2,25,0,0,1
6.3,11,0,0,1
7.3,28,0,0,1
7.6,28,0,0,1
7.3,24,0,0,1
7.2,31,0,0,1
7.5,10,0,0,1
7.9,24,0,0,1
7,21,0,0,1
7.2,110,0,0,1
6.5,17,0,0,1
7.1,26,0,0,1
7.8,10,0,0,1
6.7,20,0,0,1
8.2,20,0,0,1
7.6,29,0,0,1
7.4,35,0,0,1
7.5,31,0,0,1
6.9,20,0,0,1
7.9,108,0,0,1
6.5,11,0,0,1
6.1,10,0,0,1
7.1,16,0,0,1
7.3,40,0,0,1
7.1,35,0,0,1
6.7,23,0,0,1
6.4,10,0,0,1
7.5,40,0,0,1
5.7,33,0,0,1
6.7,12,0,0,1
7,10,0,0,1
6.9,29,0,0,1
8.3,22,0,0,1
6.9,10,0,0,1
6.7,12,0,0,1
7.8,24,0,0,1
7.2,10,0,0,1
7.4,10,0,0,1
7.1,19,0,0,1
6.9,11,0,0,1
7,10,0,0,1
7.8,41,0,0,1
6.9,21,0,0,1
7.9,103,0,0,1
6.9,17,0,0,1
7.9,136,0,0,1
5.5,8,1,-684.614,0
6.4,9,1,-1322.35,0
5.5,9,1,-695.279,0
6.1,10,1,-397.026,0
6.4,10,1,-1437.67,0
6.1,10,1,-966.024,0
5.6,10,1,-1513.78,0
5.9,10,1,-1277.99,0
5.9,10,1,-255.282,0
5.6,10,1,-2181.9,0
5.6,10,1,-1070.16,0
5.9,10,1,-325.601,0
6,10,1,-1602.63,0
6,10,1,-952.857,0
6.3,10,1,-300.159,0
6.2,10,1,-304.077,0
5.5,10,1,-1649.82,0
5.5,10,1,-642.207,0
5.6,10,1,-438.932,0
5.6,10,1,-2434.55,0
5.6,10,1,-2139.15,0
5.5,10,1,-1074.98,0
6.6,10,1,-1664.54,0
5.8,10,1,-1145.23,0
5.5,10,1,-394.755,0
5.9,10,1,-1064.37,0
5.5,10,1,-641.041,0
5.6,10,1,-1344.83,0
5.8,10,1,-1173.42,0
5.6,10,1,-263.072,0
5.5,10,1,-415.857,0
5.9,10,1,-624.694,0
5.7,10,1,-1603.74,0
5.5,10,1,-551.176,0
5.7,10,1,-541.931,0
5.9,10,1,-2363.56,0
5.9,10,1,-930.316,0
5.7,10,1,-803.121,0
5.8,10,1,-1299.24,0
